,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
190,241101040003,4,03,2017,0.0,90.0,0.0,0.0,0.0,63,52.381,98.4127,0.0,1.5873,0.0
191,241701040004,4,04,2017,0.0,87.0,0.0,0.0,0.0,46,56.5217,86.9565,2.1739,2.1739,2.1739
192,250109040001,4,01,2017,0.0,100.0,0.0,0.0,0.0,17,35.2941,94.1176,5.8824,0.0,0.0
193,250201060002,6,02,2017,0.0,98.0,0.0,0.0,0.0,124,14.5161,94.3548,1.6129,1.6129,2.4194
194,250301040001,4,01,2017,0.0,77.0,0.0,0.0,0.0,34,47.0588,94.1176,2.9412,2.9412,0.0
195,250401040004,4,04,2017,0.0,74.0,0.0,0.0,0.0,66,66.6667,93.9394,3.0303,0.0,1.5152
196,250701040001,4,01,2017,0.0,97.0,0.0,0.0,0.0,28,28.5714,100.0,0.0,0.0,0.0
197,251101040003,4,03,2017,0.0,82.0,0.0,0.0,0.0,39,20.5128,97.4359,2.5641,0.0,0.0
198,251400010009,1,09,2017,0.0,81.0,0.0,0.0,0.0,167,37.7246,97.6048,0.0,1.1976,0.5988
199,251601060005,6,05,2017,0.0,90.0,0.0,0.0,0.0,157,38.2166,92.9936,1.9108,2.5478,0.6369
200,260401060001,6,01,2017,0.0,87.0,0.0,0.0,0.0,332,42.4699,60.241,23.1928,10.241,3.3133
201,260501060008,6,08,2017,0.0,82.0,0.0,0.0,0.0,187,60.4278,58.2888,18.1818,14.9733,5.8824
202,260501060010,6,10,2017,0.0,83.0,0.0,0.0,0.0,324,54.321,70.0617,12.963,12.6543,2.4691
203,260501060013,6,13,2017,0.0,89.0,0.0,0.0,0.0,167,44.3114,62.8743,11.976,15.5689,5.3892
204,260501060019,6,19,2017,0.0,87.0,0.0,0.0,0.0,295,42.0339,65.7627,14.5763,14.2373,4.7458
205,260801060006,6,06,2017,0.0,85.0,0.0,0.0,0.0,243,48.9712,51.8519,23.4568,17.6955,1.6461
206,260803060005,6,05,2017,0.0,97.0,0.0,0.0,0.0,282,23.7589,78.0142,12.0567,6.383,2.1277
207,260901060004,6,04,2017,0.0,99.0,0.0,0.0,0.0,185,10.8108,90.2703,0.5405,5.4054,1.0811
208,261001060001,6,01,2017,0.0,95.0,0.0,0.0,0.0,305,32.7869,81.6393,7.541,4.2623,1.9672
209,261101060004,6,04,2017,0.0,96.0,0.0,0.0,0.0,333,26.1261,91.8919,1.8018,3.003,1.5015
210,261301060009,6,09,2017,0.0,96.0,0.0,0.0,0.0,526,18.0608,85.7414,5.1331,3.0418,4.7529
211,261501060004,6,04,2017,0.0,93.0,0.0,0.0,0.0,333,30.03,82.8829,8.1081,4.2042,2.4024
212,261600010058,1,58,2017,0.0,60.0,0.0,0.0,0.0,73,78.0822,6.8493,71.2329,10.9589,10.9589
213,261600010061,1,61,2017,0.0,50.0,0.0,0.0,0.0,277,87.0036,9.3863,47.2924,36.4621,6.4982
214,261600010066,1,66,2017,0.0,47.0,0.0,0.0,0.0,219,90.411,2.7397,36.5297,58.4475,1.8265
215,261600010067,1,67,2017,0.0,50.0,0.0,0.0,0.0,187,79.1444,11.7647,70.5882,12.2995,4.8128
216,261600010073,1,73,2017,0.0,49.0,0.0,0.0,0.0,175,82.2857,5.1429,69.7143,24.5714,0.5714
217,261600010074,1,74,2017,0.0,88.0,0.0,0.0,0.0,186,68.2796,29.5699,40.8602,25.2688,3.7634
218,261600010095,1,95,2017,0.0,44.0,0.0,0.0,0.0,633,86.2559,6.951,64.455,22.4329,5.8452
219,261600010102,1,02,2017,0.0,59.0,0.0,0.0,0.0,106,89.6226,8.4906,66.0377,12.2642,13.2075
220,261600010103,1,03,2017,0.0,51.0,0.0,0.0,0.0,102,83.3333,8.8235,74.5098,14.7059,1.9608
223,261801060003,6,03,2017,0.0,91.0,0.0,0.0,0.0,274,43.0657,85.7664,4.3796,5.8394,1.4599
224,262001040003,4,03,2017,0.0,96.0,0.0,0.0,0.0,55,47.2727,81.8182,9.0909,5.4545,1.8182
225,270301040002,4,02,2017,0.0,85.0,0.0,0.0,0.0,65,44.6154,98.4615,0.0,0.0,1.5385
226,270601040002,4,02,2017,0.0,88.0,0.0,0.0,0.0,121,47.1074,96.6942,0.8264,2.4793,0.0
227,270701040003,4,03,2017,0.0,93.0,0.0,0.0,0.0,49,65.3061,85.7143,0.0,6.1224,4.0816
228,271201040004,4,04,2017,0.0,94.0,0.0,0.0,0.0,47,91.4894,95.7447,0.0,2.1277,0.0
229,280100010007,1,07,2017,0.0,77.0,0.0,0.0,0.0,266,56.7669,26.6917,10.9023,56.7669,5.6391
230,280201030007,3,07,2017,0.0,41.0,0.0,0.0,0.0,667,60.1199,0.7496,24.4378,73.3133,0.7496
231,280206030006,3,06,2017,0.0,96.0,0.0,0.0,0.0,171,11.1111,87.7193,0.0,8.1871,3.5088
232,280211030010,3,10,2017,0.0,97.0,0.0,0.0,0.0,457,14.2232,76.5864,1.3129,13.1291,6.1269
233,280211030011,3,11,2017,0.0,94.0,0.0,0.0,0.0,17,41.1765,64.7059,11.7647,23.5294,0.0
234,280212030005,3,05,2017,0.0,96.0,0.0,0.0,0.0,175,51.4286,14.2857,56.0,24.0,4.5714
