,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
707,331900011510,2019,0.0,52,0.0,0.0,0.0,60,95.0,1.6667,70.0,21.6667,5.0
708,331900011583,2019,0.0,27,0.0,0.0,0.0,237,92.4051,0.0,2.5316,97.4684,0.0
709,331900011615,2019,0.0,43,0.0,0.0,0.0,290,79.3103,2.069,62.4138,26.8966,3.4483
710,331900011618,2019,0.0,55,0.0,0.0,0.0,133,87.218,1.5038,33.8346,56.391,5.2632
711,331900011639,2019,0.0,37,0.0,0.0,0.0,279,87.0968,5.7348,20.0717,61.6487,10.0358
712,331900011659,2019,0.0,36,0.0,0.0,0.0,173,93.6416,3.4682,17.341,67.052,10.4046
713,331900011660,2019,0.0,42,0.0,0.0,0.0,139,91.3669,1.4388,61.8705,34.5324,0.7194
714,331900011683,2019,0.0,31,0.0,0.0,0.0,118,93.2203,5.9322,39.8305,36.4407,14.4068
715,331900011764,2019,0.0,49,0.0,0.0,0.0,177,81.3559,5.6497,28.8136,50.8475,10.7345
716,331900860880,2019,0.0,98,0.0,0.0,0.0,112,74.1071,0.0,33.9286,65.1786,0.8929
717,332000011445,2019,0.0,77,0.0,0.0,0.0,1079,81.7424,24.7451,3.3364,31.1399,40.0371
718,332000011485,2019,0.0,61,0.0,0.0,0.0,586,79.3515,18.6007,7.8498,54.4369,16.041
719,332000011490,2019,0.0,69,0.0,0.0,0.0,1227,74.1646,33.8223,2.608,33.9038,27.7099
720,332000011505,2019,0.0,71,0.0,0.0,0.0,1112,81.9245,18.1655,10.9712,31.7446,38.5791
721,332000011609,2019,0.0,65,0.0,0.0,0.0,126,89.6825,13.4921,12.6984,18.254,51.5873
722,332100011337,2019,0.0,46,0.0,0.0,0.0,142,84.507,25.3521,2.8169,45.7746,24.6479
723,332100011344,2019,0.0,63,0.0,0.0,0.0,224,77.6786,44.6429,15.1786,16.9643,20.9821
724,332100011348,2019,0.0,30,0.0,0.0,0.0,98,81.6327,10.2041,55.102,26.5306,6.1224
725,332100011410,2019,0.0,51,0.0,0.0,0.0,751,81.6245,16.5113,42.8762,23.968,15.7124
726,332100011468,2019,0.0,88,0.0,0.0,0.0,156,62.1795,39.1026,23.0769,30.1282,7.0513
