,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
201,170901040001,2019,0.0,91,0.0,0.0,0.0,34,55.88235294117647,97.05882352941177,0.0,2.941176470588235,0.0
202,171102040004,2019,0.0,91,0.0,0.0,0.0,149,46.308724832214764,96.64429530201343,2.013422818791946,0.6711409395973155,0.0
203,180202040003,2019,0.0,93,0.0,0.0,0.0,72,20.833333333333336,95.83333333333334,2.7777777777777777,0.0,1.3888888888888888
204,180300010006,2019,0.0,79,0.0,0.0,0.0,178,48.87640449438202,75.28089887640449,15.730337078651685,6.179775280898876,1.6853932584269662
205,180701040001,2019,0.0,90,0.0,0.0,0.0,77,38.961038961038966,81.81818181818183,5.194805194805195,9.090909090909092,1.2987012987012987
206,180901040002,2019,0.0,96,0.0,0.0,0.0,26,50.0,65.38461538461539,3.8461538461538463,26.923076923076923,0.0
207,181001060002,2019,0.0,98,0.0,0.0,0.0,90,35.55555555555556,91.11111111111111,3.3333333333333335,2.2222222222222223,2.2222222222222223
208,181101040001,2019,0.0,71,0.0,0.0,0.0,73,60.273972602739725,90.41095890410958,4.10958904109589,5.47945205479452,0.0
209,181201040001,2019,0.0,85,0.0,0.0,0.0,53,56.60377358490566,98.11320754716981,1.8867924528301887,0.0,0.0
210,181302040002,2019,0.0,86,0.0,0.0,0.0,86,37.2093023255814,93.02325581395348,1.1627906976744187,2.3255813953488373,0.0
211,190301040003,2019,0.0,88,0.0,0.0,0.0,95,51.578947368421055,73.68421052631578,4.2105263157894735,15.789473684210526,0.0
212,190401060003,2019,0.0,87,0.0,0.0,0.0,116,43.103448275862064,69.82758620689656,8.620689655172415,12.931034482758621,0.8620689655172413
213,190501040001,2019,0.0,79,0.0,0.0,0.0,112,27.67857142857143,83.92857142857143,7.142857142857142,6.25,1.7857142857142856
214,190701040004,2019,0.0,89,0.0,0.0,0.0,99,29.292929292929294,95.95959595959596,1.0101010101010102,1.0101010101010102,1.0101010101010102
215,190901040001,2019,0.0,88,0.0,0.0,0.0,33,57.57575757575758,78.78787878787878,0.0,12.121212121212121,6.0606060606060606
216,191401040001,2019,0.0,96,0.0,0.0,0.0,24,12.5,87.5,0.0,8.333333333333332,4.166666666666666
217,200401040001,2019,0.0,100,0.0,0.0,0.0,8,25.0,87.5,0.0,12.5,0.0
218,200901040001,2019,0.0,95,0.0,0.0,0.0,21,52.38095238095239,90.47619047619048,9.523809523809524,0.0,0.0
219,210302040003,2019,0.0,90,0.0,0.0,0.0,62,35.483870967741936,96.7741935483871,0.0,3.225806451612903,0.0
220,210402060001,2019,0.0,90,0.0,0.0,0.0,80,43.75,95.0,2.5,1.25,0.0
221,210601060005,2019,0.0,70,0.0,0.0,0.0,79,60.75949367088608,89.87341772151899,3.79746835443038,1.2658227848101267,2.5316455696202533
222,210800050005,2019,0.0,82,0.0,0.0,0.0,82,60.97560975609756,90.2439024390244,1.2195121951219512,2.4390243902439024,2.4390243902439024
